,TX_HASH,BLOCK_TIMESTAMP,AMOUNT,ORIGINCHAINID,DESTINATIONCHAINID,ORIGIN_FROM_ADDRESS,ORIGIN_TO_ADDRESS,CONTRACT_ADDRESS,ROWNUMBER,COUNTER
0,0x09c664a3e797dbd026e149ac6397e11f16adbd102ccefaec9ad693a61ace3f00,2022-07-22 04:14:56.000,55.0,137,42161,0x00409fc839a2ec2e6d12305423d37cd011279c09,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
1,0x62dcb5274d6646be687016125f89e0d932649860bcdc98e74129033698a94544,2022-07-22 06:05:32.000,60.0,137,42161,0x00b7c84dbbd871a8eb209138174d1ef378f015a0,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
2,0x45adf0a2898e9d1b99b8ed9b395887000a9ab23f3896da55dfcdde804652a00e,2022-07-22 05:48:42.000,51.0,137,42161,0x00fc582db7eec7bb328a5f70c23fdc2420e44fa9,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
3,0xde535b3c3e09b0287a6fd2079a3c95b5ec553eb4cb8f9a679bbe882764359d79,2022-07-22 04:43:42.000,54.0,137,42161,0x012e414b3043e5de1714cc0a03fa6e0125efd80e,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
4,0x2d44fa3d8e2c95b4a9b1335d2797343f429e2f23c6179fe92be654d7b9e07e52,2022-07-22 02:26:28.000,51.0,137,42161,0x019ee51c92802065c935dcb8f793016ec31e1e55,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
5,0xdc0d263b92860873ced74858c90a9e9795e12441cb6eb5bf67124e506251dcc5,2022-07-22 04:16:20.000,51.0,137,42161,0x01a2b6c749b778053bc81551e23675f0aee641dc,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
6,0x7ee5b40885d14ab3c08c2eca795201512c92a835db86a20995620ba4c21ebc01,2022-07-22 06:04:50.000,55.0,137,42161,0x01ae53a449cd252869d5db21d77a291a69de1112,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
7,0xdf204a9962a94c65a65751f45ee690d709dd0fc84a6afa681b92be17b75abe1c,2022-07-22 00:36:16.000,51.0,137,42161,0x01b86aeebcd1ff94ac1195cfc8fd9e39db24db45,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
8,0x4fadb6ecd27aa9c23aee0bce2bb9379e28ea0d5e724dc2ff0aa2e23df7ab191a,2022-07-22 06:58:02.000,815.0,137,42161,0x01de494230b03989f9a2d8956fdfe5486d712ebf,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
9,0x57c0cd58ea2d8bdf5d846507c5a1b231698fccbccb69ed9080ce74b29886edbb,2022-07-22 07:03:34.000,55.0,137,42161,0x024813b4972428003c725ea756348dcd79b826e6,0x69b5c72837769ef1e7c164abc6515dcff217f920,0x69b5c72837769ef1e7c164abc6515dcff217f920,1,1
