,WALLET,CONTRACT_ADDRESS,RAW_AMOUNT,EVENT_COUNT,BLOCKCHAIN,ADDRESS_NAME,LABEL_TYPE,LABEL_SUBTYPE,PROJECT_NAME
0,0x49b3d93d811d33798401be37677e523bdbbe1708,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-13115043679360,23,polygon,weth,dapp,token_contract,weth
1,0x8e673100b9c1883b2c503d0d8ab718823357f5dd,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-2445366423959820,6,polygon,weth,dapp,token_contract,weth
2,0x9680f3957510cf85751a096c2194520c36a4a003,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0,9,polygon,weth,dapp,token_contract,weth
3,0x7796d7e2f04b2854cb32f52c6014bee89fd93c18,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,50556795903876500,15,polygon,weth,dapp,token_contract,weth
4,0xfad5988d2e1bd22c77e360149d45849ffee59222,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,535209817537081,10,polygon,weth,dapp,token_contract,weth
5,0x584bbb33b6ce22dbb8ba8c3cb02f90a88f88451c,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-112557980706397,3,polygon,weth,dapp,token_contract,weth
6,0xfd2b128b88e2a3c2c7bcb7e65680aac40f66775d,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,197567679979349000,5,polygon,weth,dapp,token_contract,weth
7,0x6c726a6e975750e161e1e1524801c1d9d8ac1bff,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-252522902581902,9,polygon,weth,dapp,token_contract,weth
8,0xa69682799da3eee36a5bee59c3249f9c25a1157d,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-4,8,polygon,weth,dapp,token_contract,weth
9,0xf71946496600e1e1d47b8a77eb2f109fd82dc86a,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-550932930094120,7,polygon,weth,dapp,token_contract,weth
10,0x1dc539c48c579299841535abf69b682ceec1033a,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-101236739478547,3,polygon,weth,dapp,token_contract,weth
11,0xb19f6698d63d51cfa0d6eb4490ca83fcd640f462,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,370721380730368,17,polygon,weth,dapp,token_contract,weth
12,0x25382a5f407a31c1996bbf96fbb92a690497288c,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,386264460175195,6,polygon,weth,dapp,token_contract,weth
13,0x6eaf52ac0046d8233976cb79bb46e7d90e7d94ad,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,6038410024400,7,polygon,weth,dapp,token_contract,weth
14,0xd2e3be873ad2266b726e8947393b39324a6464f5,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,370460326373304,7,polygon,weth,dapp,token_contract,weth
15,0x18494636ed501765d3f9ad5795970717484b350c,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,580326989360907,8,polygon,weth,dapp,token_contract,weth
16,0xf3910ac48be8b14c3b014cdf1436a431f098446f,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-96308720556045600,9,polygon,weth,dapp,token_contract,weth
17,0x38430336153468dcf36af5cea7d6bc472425633a,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,53321213251546700,5,polygon,weth,dapp,token_contract,weth
18,0x939780173b5d00b026a116dbdfe7b9f6f056be9c,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-1191515665199730,12,polygon,weth,dapp,token_contract,weth
19,0x3be9909766f2d5c3bf3e587ff4e53790ba4e40af,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,58197526787105,7,polygon,weth,dapp,token_contract,weth
20,0xf4eb2a12b0346ebb8f8a65ac34e4359522fa7392,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-95813685318357,1,polygon,weth,dapp,token_contract,weth
21,0x0dd94484c2f2cf7cf63bf6e0e445796a724246cc,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-473045713825216,2,polygon,weth,dapp,token_contract,weth
22,0x7379e6927ebece670cba86d31c9efb8cee11daed,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,0,27,polygon,weth,dapp,token_contract,weth
23,0x2e5300eabf71950b00ddd6a59690cfd8852ad3b9,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,14616738743555,5,polygon,weth,dapp,token_contract,weth
24,0x273d4c6f62b79ac79f42575a6fe8ef58764e072b,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-12806834814065,9,polygon,weth,dapp,token_contract,weth
25,0xc7a7a3b3ff35d304d40942768a8ddb95ff142c05,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,5745132113632050,6,polygon,weth,dapp,token_contract,weth
26,0x2b179b7096773c20e3bc975e79bfdf649cafd474,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,780138703319089,10,polygon,weth,dapp,token_contract,weth
27,0x75dbe5f08b1cd3e85be4b51a7337905f41fc8e79,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,17000000000000,5,polygon,weth,dapp,token_contract,weth
28,0x0678e836c26abcfcd2b7e49559aa1a8b0f3ad36a,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-53458129153883300,17,polygon,weth,dapp,token_contract,weth
29,0x792c68efa4f64c3289d96020e5a2ad5a2d0fecca,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-370182332279890,11,polygon,weth,dapp,token_contract,weth
30,0x481787bba8c56f801db8bdb336844b771c011246,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-1134916356204460,5,polygon,weth,dapp,token_contract,weth
31,0x2031cc88e566e08e7cbd0b8363d36a4141731503,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-4488175009854160,4,polygon,weth,dapp,token_contract,weth
32,0x5535c48511faa34bc3666f385b9b3ab93a65f845,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-72620513583219,4,polygon,weth,dapp,token_contract,weth
33,0x8603b5df388eb0a1790a70cf0cfbad166665cdb2,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,509659787263748,5,polygon,weth,dapp,token_contract,weth
34,0xcda32aeb3acf2371c213338326bbe2a7167cf8da,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,89596439641210,7,polygon,weth,dapp,token_contract,weth
35,0x45c2cb53a900200b1a019951814b894d3973430b,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-37961024221625,9,polygon,weth,dapp,token_contract,weth
36,0x3d289eb9bcfdae16a0a39c7e0b188bdf3f862283,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,13354908924710,6,polygon,weth,dapp,token_contract,weth
37,0x1da2b720573f28c440ebee2124dced243fc05bb6,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,1135006659923560,6,polygon,weth,dapp,token_contract,weth
38,0xfbb3389113571b5338dfeca0f23b865b0a32f3ec,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,17000000000000,5,polygon,weth,dapp,token_contract,weth
39,0xa579693bc1f671c6b4b4c9806237d92ede67ec24,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-20634010417380,3,polygon,weth,dapp,token_contract,weth
40,0x13e35b33b929bd96a004ea88d1fec552b205a23b,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,577749684047818,4,polygon,weth,dapp,token_contract,weth
41,0x2744a205b3a599508295e53d0290b949104d57f4,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,14206418996294600,17,polygon,weth,dapp,token_contract,weth
42,0xa0c14f531971aae4be38ad919aaf4497f581e3d3,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-16022151826802,7,polygon,weth,dapp,token_contract,weth
43,0xa5384c086b2f1b99d87f747b2e962bf30727b44c,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-22492009735767,7,polygon,weth,dapp,token_contract,weth
44,0xb038113e920a67d79fb00103b163a571dea096fa,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-260434958365,3,polygon,weth,dapp,token_contract,weth
45,0xcd133d337ead9c2ac799ec7524a1e0f8aa30c3b1,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,16,25,polygon,weth,dapp,token_contract,weth
46,0x6ce617317a75aca2c9f7129bbe329bcd242c884a,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,257106935437936,8,polygon,weth,dapp,token_contract,weth
47,0x8d879c4a7616537139267db56c40572bdc67a9db,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-11000000000000,2,polygon,weth,dapp,token_contract,weth
48,0x2e5ad9f3630f6638ca337bd8c2567da09430660b,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,17000000000000,5,polygon,weth,dapp,token_contract,weth
49,0xc6571c2fb66825f13b7751b1c334810d397618eb,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,105672901629441000,8,polygon,weth,dapp,token_contract,weth
50,0x95737ad3d18971d5e48a4aae301041d2b50016fb,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,1032566703182340,8,polygon,weth,dapp,token_contract,weth
51,0x6535deb9447af157eefe0384da914e25e2439701,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,7255711511664950,6,polygon,weth,dapp,token_contract,weth
52,0x88eda2cb962fddf5999cf64f193fa47755d414f8,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-300913851921320,9,polygon,weth,dapp,token_contract,weth
53,0x67dfaa288f9fecfb378c0a7c10ae6e92e2147661,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-1175079585522000,3,polygon,weth,dapp,token_contract,weth
54,0x7dc1fa1fb1150fc53b9308c0210b650e159082f7,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-380000000000000,4,polygon,weth,dapp,token_contract,weth
55,0x278e2ddc31ee9fe61e73b10ee5ce5fbf5a401049,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,553744156172580,4,polygon,weth,dapp,token_contract,weth
56,0x5e313d65611db9e1c0449d695294b50ca65779df,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,922018117978562,4,polygon,weth,dapp,token_contract,weth
57,0xbe13084cea1e3c8615f781b85b995c4d95947080,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-1473170013241480,4,polygon,weth,dapp,token_contract,weth
58,0x3e5841b60324a933da5a6550cba6a60851857831,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,-1640763413718660,3,polygon,weth,dapp,token_contract,weth
59,0x27a886862492783cb03eb0c44261809c8915ed27,0x7ceb23fd6bc0add59e62ac25578270cff1b9f619,532103665377469,10,polygon,weth,dapp,token_contract,weth
